country, iso3, who_region, persons_fully_vaccinated
Afghanistan,AFG,EMRO,1039215
Albania,ALB,EURO,575342
Algeria,DZA,AFRO,724812
American Samoa,ASM,WPRO,24104
Andorra,AND,EURO,40616
Angola,AGO,AFRO,728311
Anguilla,AIA,AMRO,8965
Antigua and Barbuda,ATG,AMRO,31414
Argentina,ARG,AMRO,9553439
Armenia,ARM,EURO,75663
Aruba,ABW,AMRO,67329
Australia,AUS,WPRO,4651958
Austria,AUT,EURO,5061419
Azerbaijan,AZE,EURO,2406267
Bahamas,BHS,AMRO,47580
Bahrain,BHR,EMRO,1073383
Bangladesh,BGD,SEARO,5930196
Barbados,BRB,AMRO,82733
Belarus,BLR,EURO,1188636
Belgium,BEL,EURO,7721507
Belize,BLZ,AMRO,59379
Benin,BEN,AFRO,42212
Bermuda,BMU,AMRO,41223
Bhutan,BTN,SEARO,474547
Bolivia (Plurinational State of),BOL,AMRO,1976605
Bonaire,XAA,AMRO,13335
Bonaire Sint Eustatius and Saba,BES,AMRO,2965
Bosnia and Herzegovina,BIH,EURO,327698
Botswana,BWA,AFRO,157423
Brazil,BRA,AMRO,45412687
British Virgin Islands,VGB,AMRO,12433
Brunei Darussalam,BRN,WPRO,27132
Bulgaria,BGR,EURO,1094904
Burkina Faso,BFA,AFRO,4463
Cabo Verde,CPV,AFRO,49398
Cambodia,KHM,WPRO,5597888
Cameroon,CMR,AFRO,72112
Canada,CAN,AMRO,23896401
Cayman Islands,CYM,AMRO,48512
Central African Republic,CAF,AFRO,13779
Chad,TCD,AFRO,12295
Chile,CHL,AMRO,12591805
China,CHN,WPRO,
Colombia,COL,AMRO,13504623
Comoros,COM,AFRO,64126
Congo,COG,AFRO,84204
Cook Islands,COK,WPRO,10345
Costa Rica,CRI,AMRO,862851
Côte d’Ivoire,CIV,AFRO,214027
Croatia,HRV,EURO,1558636
Cuba,CUB,AMRO,3604756
Curaçao,CUW,AMRO,84189
Cyprus,CYP,EURO,497540
Czechia,CZE,EURO,5419022
Democratic Republic of the Congo,COD,AFRO,4897
Denmark,DNK,EURO,3904382
Djibouti,DJI,EMRO,15217
Dominica,DMA,AMRO,19732
Dominican Republic,DOM,AMRO,4438630
Ecuador,ECU,AMRO,4152609
Egypt,EGY,EMRO,2157904
El Salvador,SLV,AMRO,1875122
Equatorial Guinea,GNQ,AFRO,136091
Estonia,EST,EURO,523573
Eswatini,SWZ,AFRO,128478
Ethiopia,ETH,AFRO,302683
Falkland Islands (Malvinas),FLK,AMRO,1775
Faroe Islands,FRO,EURO,33541
Fiji,FJI,WPRO,178606
Finland,FIN,EURO,2423533
France,FRA,EURO,36190813
French Guiana,GUF,AMRO,46436
French Polynesia,PYF,WPRO,70827
Gabon,GAB,AFRO,53037
Gambia,GMB,AFRO,7355
Georgia,GEO,EURO,258303
Germany,DEU,EURO,48419275
Ghana,GHA,AFRO,405971
Gibraltar,GIB,EURO,39174
Greece,GRC,EURO,5563987
Greenland,GRL,EURO,30012
Grenada,GRD,AMRO,17158
Guadeloupe,GLP,AMRO,67283
Guam,GUM,WPRO,99511
Guatemala,GTM,AMRO,432225
Guernsey,GGY,EURO,
Guinea,GIN,AFRO,346716
Guinea-Bissau,GNB,AFRO,2374
Guyana,GUY,AMRO,146091
Haiti,HTI,AMRO,366
Honduras,HND,AMRO,931631
Hungary,HUN,EURO,5502086
Iceland,ISL,EURO,255322
India,IND,SEARO,124931974
Indonesia,IDN,SEARO,29193717
Iran (Islamic Republic of),IRN,EMRO,4381064
Iraq,IRQ,EMRO,388541
Ireland,IRL,EURO,3141316
Isle of Man,IMN,EURO,60598
Israel,ISR,EURO,5431121
Italy,ITA,EURO,34857420
Jamaica,JAM,AMRO,135115
Japan,JPN,WPRO,35147293
Jersey,JEY,EURO,70408
Jordan,JOR,EMRO,2646399
Kazakhstan,KAZ,EURO,4819587
Kenya,KEN,AFRO,773067
Kiribati,KIR,WPRO,
Kosovo,XKX,EURO,213279
Kuwait,KWT,EMRO,
Kyrgyzstan,KGZ,EURO,312948
Lao People's Democratic Republic,LAO,WPRO,988156
Latvia,LVA,EURO,728979
Lebanon,LBN,EMRO,980292
Lesotho,LSO,AFRO,32181
Liberia,LBR,AFRO,9135
Libya,LBY,EMRO,52050
Liechtenstein,LIE,OTHER,20355
Lithuania,LTU,EURO,1404021
Luxembourg,LUX,EURO,348050
Madagascar,MDG,AFRO,
Malawi,MWI,AFRO,321631
Malaysia,MYS,WPRO,7998831
Maldives,MDV,SEARO,296498
Mali,MLI,AFRO,86477
Malta,MLT,EURO,406325
Marshall Islands,MHL,WPRO,17678
Martinique,MTQ,AMRO,65829
Mauritania,MRT,AFRO,22695
Mauritius,MUS,AFRO,576180
Mexico,MEX,AMRO,28384141
Micronesia (Federated States of),FSM,WPRO,29820
Monaco,MCO,EURO,19606
Mongolia,MNG,WPRO,1997489
Montenegro,MNE,EURO,167157
Montserrat,MSR,AMRO,1368
Morocco,MAR,EMRO,11402066
Mozambique,MOZ,AFRO,656629
Myanmar,MMR,SEARO,1527284
Namibia,NAM,AFRO,78846
Nauru,NRU,WPRO,7251
Nepal,NPL,SEARO,3490065
Netherlands,NLD,EURO,10532376
New Caledonia,NCL,WPRO,63031
New Zealand,NZL,WPRO,734290
Nicaragua,NIC,AMRO,197608
Niger,NER,AFRO,84682
Nigeria,NGA,AFRO,1416623
Niue,NIU,WPRO,1150
North Macedonia,MKD,EURO,462192
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,30841
Norway,NOR,EURO,2296068
occupied Palestinian territory,PSE,EMRO,419264
Oman,OMN,EMRO,337002
Pakistan,PAK,EMRO,12658359
Palau,PLW,WPRO,13541
Panama,PAN,AMRO,829391
Papua New Guinea,PNG,WPRO,17401
Paraguay,PRY,AMRO,1028703
Peru,PER,AMRO,6543184
Philippines,PHL,WPRO,12482
Pitcairn Islands,PCN,WPRO,36
Poland,POL,EURO,18244397
Portugal,PRT,EURO,6817892
Puerto Rico,PRI,AMRO,1946559
Qatar,QAT,EMRO,1816789
Republic of Korea,KOR,WPRO,7721046
Republic of Moldova,MDA,EURO,
Romania,ROU,EURO,5012813
Russian Federation,RUS,EURO,33167259
Rwanda,RWA,AFRO,403338
Saba,XCA,AMRO,1300
Saint Helena,SHN,AFRO,3531
Saint Kitts and Nevis,KNA,AMRO,20000
Saint Lucia,LCA,AMRO,26063
Saint Vincent and the Grenadines,VCT,AMRO,11483
Samoa,WSM,WPRO,28653
San Marino,SMR,EURO,23709
Sao Tome and Principe,STP,AFRO,11873
Saudi Arabia,SAU,EMRO,12015678
Senegal,SEN,AFRO,626669
Serbia,SRB,EURO,2766182
Seychelles,SYC,AFRO,69713
Sierra Leone,SLE,AFRO,28194
Singapore,SGP,WPRO,3807652
Sint Eustatius,XBA,AMRO,1301
Sint Maarten,SXM,AMRO,22287
Slovakia,SVK,EURO,2108809
Slovenia,SVN,EURO,862040
Solomon Islands,SLB,WPRO,13155
Somalia,SOM,EMRO,93274
South Africa,ZAF,AFRO,4482893
South Sudan,SSD,AFRO,4763
Spain,ESP,EURO,30261332
Sri Lanka,LKA,SEARO,4956288
Sudan,SDN,EMRO,182727
Suriname,SUR,AMRO,76379
Sweden,SWE,EURO,5003350
Switzerland,CHE,EURO,4323274
Syrian Arab Republic,SYR,EMRO,9312
Tajikistan,TJK,EURO,212000
Thailand,THA,SEARO,5228157
The United Kingdom,GBR,EURO,40703769
Timor-Leste,TLS,SEARO,143021
Togo,TGO,AFRO,178621
Tokelau,TKL,WPRO,
Tonga,TON,WPRO,21086
Trinidad and Tobago,TTO,AMRO,271653
Tunisia,TUN,EMRO,1307662
Turkey,TUR,EURO,34128107
Turkmenistan,TKM,EURO,9753
Turks and Caicos Islands,TCA,AMRO,23486
Tuvalu,TUV,WPRO,
Uganda,UGA,AFRO,242310
Ukraine,UKR,EURO,2908748
United Arab Emirates,ARE,EMRO,
United Republic of Tanzania,TZA,AFRO,209271
United States of America,USA,AMRO,167928517
Uruguay,URY,AMRO,2377772
Uzbekistan,UZB,EURO,
Vanuatu,VUT,WPRO,136
Venezuela (Bolivarian Republic of),VEN,AMRO,117912
Viet Nam,VNM,WPRO,820023
Wallis and Futuna,WLF,WPRO,4602
Yemen,YEM,EMRO,13322
Zambia,ZMB,AFRO,199741
Zimbabwe,ZWE,AFRO,138675
count,,,